altitude,deltaDistance,deltaPause,deltaTime,latitude,longitude,routenum,type,user
134,0,0,,44.047745,-123.088084,21,StartPoint,alexniwebb
132,490.3712937,0,265474,44.052155,-123.0881,21,ManualPoint,alexniwebb
131,342.5969376,0,265474,44.055236,-123.088124,21,ManualPoint,alexniwebb
139,342.5969371,0,,44.058317,-123.088148,21,ManualPoint,alexniwebb
147,93.28136915,0,,44.058751,-123.089147,21,ManualPoint,alexniwebb
154,93.21249478,0,43197,44.059185,-123.090145,21,ManualPoint,alexniwebb
168,62.43850086,0,43197,44.059389,-123.090873,21,ManualPoint,alexniwebb
174,62.32351532,0,23139,44.059592,-123.0916,21,ManualPoint,alexniwebb
150,63.92726386,0,23139,44.059778,-123.092357,21,ManualPoint,alexniwebb
157,53.66908093,0,23397,44.05998,-123.092967,21,ManualPoint,alexniwebb
157,53.6689299,0,23397,44.060182,-123.093577,21,ManualPoint,alexniwebb
167,60.53558764,0,26344,44.060364,-123.094291,21,ManualPoint,alexniwebb
136,60.42299196,0,26342,44.060545,-123.095004,21,ManualPoint,alexniwebb
176,43.97141252,0,19126,44.060155,-123.094913,21,ManualPoint,alexniwebb
167,57.14353392,0,24916,44.06004,-123.09561,21,ManualPoint,alexniwebb
147,72.11479963,0,31403,44.059754,-123.09642,21,ManualPoint,alexniwebb
144,71.11995098,0,30985,44.059465,-123.097214,21,ManualPoint,alexniwebb
145,82.53841626,0,35966,44.058725,-123.097295,21,ManualPoint,alexniwebb
145,35.01169394,0,15265,44.058413,-123.097354,21,ManualPoint,alexniwebb
145,11.63585318,0,5046,44.058347,-123.097241,21,ManualPoint,alexniwebb
145,27.15787314,0,11831,44.058108,-123.097171,21,ManualPoint,alexniwebb
135,20.24165947,0,8856,44.057943,-123.097064,21,ManualPoint,alexniwebb
145,28.86120521,0,12562,44.057769,-123.096796,21,ManualPoint,alexniwebb
145,26.83045607,0,11696,44.057619,-123.096533,21,ManualPoint,alexniwebb
158,49.87731806,0,21716,44.057418,-123.095975,21,ManualPoint,alexniwebb
168,57.96687365,0,25274,44.057322,-123.095262,21,ManualPoint,alexniwebb
173,57.45501569,0,25025,44.057322,-123.094543,21,ManualPoint,alexniwebb
177,84.64721434,0,36873,44.057372,-123.093486,21,ManualPoint,alexniwebb
177,48.05460089,0,20931,44.057357,-123.092885,21,ManualPoint,alexniwebb
179,81.54327529,0,35534,44.057318,-123.091866,21,ManualPoint,alexniwebb
179,48.29728161,0,21037,44.057364,-123.091265,21,ManualPoint,alexniwebb
171,19.64345138,0,8551,44.057457,-123.091056,21,ManualPoint,alexniwebb
171,49.79680087,0,21703,44.057904,-123.091018,21,ManualPoint,alexniwebb
182,27.46805286,0,11953,44.058151,-123.091013,21,ManualPoint,alexniwebb
186,33.29938978,0,14510,44.058309,-123.091367,21,ManualPoint,alexniwebb
189,50.58976344,0,22040,44.058317,-123.092,21,ManualPoint,alexniwebb
195,72.28566905,0,31500,44.058259,-123.092901,21,ManualPoint,alexniwebb
195,17.5913487,0,7656,44.058293,-123.093116,21,ManualPoint,alexniwebb
195,31.23174307,0,13602,44.058494,-123.093389,21,ManualPoint,alexniwebb
199,68.06165485,0,29649,44.058694,-123.094194,21,ManualPoint,alexniwebb
207,63.97472496,0,27875,44.058814,-123.094977,21,ManualPoint,alexniwebb
199,40.86330792,0,17789,44.058841,-123.095487,21,ManualPoint,alexniwebb
192,21.45847428,0,9366,44.058664,-123.095594,21,ManualPoint,alexniwebb
200,34.64497319,0,15073,44.058405,-123.095353,21,ManualPoint,alexniwebb
200,56.4034136,0,24576,44.058305,-123.094661,21,ManualPoint,alexniwebb
199,60.89174492,0,26520,44.058301,-123.093899,21,ManualPoint,alexniwebb
195,59.75617029,0,26046,44.058128,-123.093191,21,ManualPoint,alexniwebb
195,27.96798381,0,12174,44.058147,-123.092842,21,ManualPoint,alexniwebb
189,61.01451977,0,26596,44.058224,-123.092086,21,ManualPoint,alexniwebb
186,33.00143999,0,14368,44.058178,-123.091678,21,ManualPoint,alexniwebb
186,22.97723574,0,10009,44.058228,-123.091399,21,ManualPoint,alexniwebb
186,20.76434081,0,9036,44.05817,-123.091152,21,ManualPoint,alexniwebb
182,18.05391984,0,7855,44.058027,-123.091045,21,ManualPoint,alexniwebb
171,50.59929998,0,22087,44.057573,-123.091002,21,ManualPoint,alexniwebb
179,28.03409878,0,12194,44.057349,-123.091163,21,ManualPoint,alexniwebb
179,45.6386622,0,19895,44.05728,-123.091726,21,ManualPoint,alexniwebb
177,86.28702354,0,37568,44.05731,-123.092805,21,ManualPoint,alexniwebb
177,49.82316555,0,21715,44.057341,-123.093427,21,ManualPoint,alexniwebb
150,60.19058138,0,26224,44.05701,-123.092831,21,ManualPoint,alexniwebb
159,61.71274848,0,26899,44.056771,-123.092134,21,ManualPoint,alexniwebb
160,76.14095281,0,33174,44.056678,-123.09119,21,ManualPoint,alexniwebb
151,67.80455297,0,29536,44.056524,-123.090369,21,ManualPoint,alexniwebb
142,87.42683238,0,38102,44.056516,-123.089275,21,ManualPoint,alexniwebb
138,91.33793718,0,39780,44.056516,-123.088132,21,ManualPoint,alexniwebb
131,143.5526503,0,62567,44.055225,-123.088132,21,ManualPoint,alexniwebb
131,163.7924858,0,71348,44.053752,-123.088143,21,ManualPoint,alexniwebb
132,125.2120162,0,54541,44.052626,-123.088127,21,ManualPoint,alexniwebb
134,127.0960273,0,55380,44.051483,-123.088124,21,ManualPoint,alexniwebb
134,134.5460749,0,58605,44.050273,-123.088127,21,ManualPoint,alexniwebb
133,134.4348801,0,58605,44.049064,-123.08813,21,ManualPoint,alexniwebb
134,75.94680773,0,33061,44.048381,-123.088126,21,ManualPoint,alexniwebb
134,75.83561381,0,33094,44.047699,-123.088122,21,EndPoint,alexniwebb
130,0,0,,44.047761,-123.098832,22,StartPoint,Amondstien
130,0.002,0,672,44.04776,-123.09881,22,TripPoint,Amondstien
131,0.126,0,42397,44.04663,-123.09884,22,TripPoint,Amondstien
131,0,0,,44.04663,-123.09884,22,TripPoint,Amondstien
131,0.076,0,25572,44.04662,-123.09789,22,ManualPoint,Amondstien
131,0,0,,44.04662,-123.09789,22,TripPoint,Amondstien
