altitude,deltaDistance,deltaPause,deltaTime,latitude,longitude,routenum,type,user
130,0,0,,44.047717,-123.098833,1,StartPoint,Amondstien
130,0.004,0,,44.04769,-123.09881,1,TripPoint,Amondstien
131,0.118,0,,44.04663,-123.09884,1,TripPoint,Amondstien
131,0,0,,44.04663,-123.09884,1,TripPoint,Amondstien
130,0.102,0,,44.04662,-123.09757,1,ManualPoint,Amondstien
130,0,0,,44.04662,-123.09757,1,TripPoint,Amondstien
132,0.315,0,,44.04659,-123.09363,1,TripPoint,Amondstien
136,0.022,0,,44.04667,-123.09338,1,TripPoint,Amondstien
133,0.129,0,,44.04667,-123.09177,1,TripPoint,Amondstien
133,0.169,0,,44.0466,-123.08966,1,TripPoint,Amondstien
134,0.493,0,,44.04659,-123.08349,1,ManualPoint,Amondstien
134,0,0,,44.04659,-123.08349,1,TripPoint,Amondstien
138,0.111,0,,44.04658,-123.0821,1,TripPoint,Amondstien
138,0,0,,44.04658,-123.0821,1,TripPoint,Amondstien
134,0.122,0,,44.04768,-123.08209,1,TripPoint,Amondstien
134,0,0,,44.04768,-123.08209,1,TripPoint,Amondstien
142,0.428,0,,44.04771,-123.07674,1,TripPoint,Amondstien
141,0.079,0,,44.04766,-123.07575,1,TripPoint,Amondstien
141,0,0,,44.04766,-123.07575,1,TripPoint,Amondstien
135,0.209,0,,44.04715,-123.07323,1,ManualPoint,Amondstien
135,0,0,,44.04715,-123.07323,1,TripPoint,Amondstien
142,0.011,0,,44.04712,-123.0731,1,TripPoint,Amondstien
142,0,0,,44.04712,-123.0731,1,TripPoint,Amondstien
135,0.027,0,,44.04735,-123.07301,1,TripPoint,Amondstien
134,0.029,0,,44.04743,-123.07266,1,TripPoint,Amondstien
134,0.007,0,,44.04749,-123.07262,1,TripPoint,Amondstien
132,0.111,0,,44.04849,-123.0726,1,TripPoint,Amondstien
132,0,0,,44.04849,-123.0726,1,TripPoint,Amondstien
134,0.096,0,,44.04852,-123.0714,1,TripPoint,Amondstien
134,0,0,,44.04852,-123.0714,1,TripPoint,Amondstien
131,0.064,0,,44.0491,-123.0714,1,TripPoint,Amondstien
127,0.059,0,,44.04963,-123.07131,1,TripPoint,Amondstien
127,0.029,0,,44.04989,-123.07132,1,TripPoint,Amondstien
127,0.021,0,,44.05007,-123.0714,1,TripPoint,Amondstien
127,0,0,,44.05007,-123.0714,1,TripPoint,Amondstien
127,0.019,0,,44.05006,-123.07164,1,TripPoint,Amondstien
127,0.016,0,,44.05014,-123.07181,1,TripPoint,Amondstien
127,0.026,0,,44.05037,-123.07188,1,TripPoint,Amondstien
134,0.269,0,,44.05267,-123.07083,1,TripPoint,Amondstien
134,0.019,0,,44.05281,-123.0707,1,TripPoint,Amondstien
134,0.008,0,,44.05279,-123.0706,1,TripPoint,Amondstien
136,0.074,0,,44.05313,-123.06981,1,TripPoint,Amondstien
136,0.076,0,,44.05376,-123.06943,1,TripPoint,Amondstien
134,0.074,0,,44.05441,-123.06964,1,TripPoint,Amondstien
131,0.072,0,,44.055,-123.07,1,TripPoint,Amondstien
131,0.027,0,,44.05524,-123.07004,1,TripPoint,Amondstien
131,0,0,,44.05524,-123.07004,1,TripPoint,Amondstien
131,0.005,0,,44.05523,-123.06998,1,ManualPoint,Amondstien
131,0,0,,44.05523,-123.06998,1,TripPoint,Amondstien
132,0.076,0,,44.05529,-123.07093,1,TripPoint,Amondstien
132,0.076,0,,44.05516,-123.07186,1,TripPoint,Amondstien
130,0.237,0,,44.05426,-123.07455,1,TripPoint,Amondstien
130,0.025,0,,44.05429,-123.07486,1,TripPoint,Amondstien
133,0.272,0,,44.05502,-123.07811,1,TripPoint,Amondstien
128,0.136,0,,44.05468,-123.07974,1,TripPoint,Amondstien
128,0.014,0,,44.05471,-123.07991,1,TripPoint,Amondstien
128,0.027,0,,44.05486,-123.08018,1,ManualPoint,Amondstien
131,0.059,0,,44.054958,-123.080907,1,ManualPoint,Amondstien
129,0.12,0,,44.05596,-123.081465,1,ManualPoint,Amondstien
129,0.015,0,,44.056014,-123.081632,1,ManualPoint,Amondstien
129,0.001,0,,44.05601,-123.08164,1,TripPoint,Amondstien
127,0.043,0,,44.05638,-123.0818,1,TripPoint,Amondstien
127,0,0,,44.05638,-123.0818,1,TripPoint,Amondstien
127,0.037,0,,44.05628,-123.08224,1,TripPoint,Amondstien
127,0,0,,44.05628,-123.08224,1,TripPoint,Amondstien
127,0.056,0,,44.0567,-123.08262,1,TripPoint,Amondstien
124,0.022,0,,44.05681,-123.08285,1,TripPoint,Amondstien
124,0,0,,44.05681,-123.08285,1,TripPoint,Amondstien
127,0.017,0,,44.05695,-123.08276,1,TripPoint,Amondstien
127,0.009,0,,44.05703,-123.08277,1,ManualPoint,Amondstien
132,0.02,0,,44.057198,-123.082667,1,ManualPoint,Amondstien
132,0.01,0,,44.05726,-123.08275,1,TripPoint,Amondstien
129,0.014,0,,44.05718,-123.08288,1,ManualPoint,Amondstien
129,0,0,,44.05718,-123.08288,1,TripPoint,Amondstien
132,0.161,0,,44.05653,-123.08468,1,TripPoint,Amondstien
133,0.04,0,,44.05619,-123.08486,1,TripPoint,Amondstien
133,0.019,0,,44.05608,-123.08504,1,TripPoint,Amondstien
133,0.041,0,,44.05571,-123.08498,1,TripPoint,Amondstien
133,0.009,0,,44.05563,-123.08501,1,TripPoint,Amondstien
133,0.026,0,,44.05545,-123.08522,1,TripPoint,Amondstien
131,0.035,0,,44.05535,-123.08564,1,TripPoint,Amondstien
129,0.077,0,,44.05536,-123.0866,1,TripPoint,Amondstien
129,0,0,,44.05536,-123.0866,1,TripPoint,Amondstien
129,0.004,0,,44.0554,-123.0866,1,TripPoint,Amondstien
129,0,0,,44.0554,-123.0866,1,TripPoint,Amondstien
