name    count_2012
Aabha   13
Aabriella   5
Aaden   5
Aadhira 6
Aadhya  218
Aadi    10
Aadison 11
Aaditri 10
Aadya   292
Aadyn   16
Aafreen 6
Aagot   35
Aahana  273
Aahliyah    25
Aahna   47
Aaila   6
Aailiyah    14
Aailyah 179
Aaira   37
Aairah  14
Aaisha  225
Aaishah 20
Aaiyana 5
Aaiza   5
Aaja    6
Aajah   32
Aajaylah    23
Aakanksha   6
Aakilah 23
Aakira  6
Aakiyah 6
Aakriti 16
Aala    54
Aalaiya 8
Aalaiyah    24
Aalana  33
Aalanah 11
Aalani  22
Aalaya  97
Aalayah 521
Aalayiah    7
Aalayjah    7
Aalayna 17
Aalaysha    18
Aalaysia    95
Aaleah  198
Aaleahya    9
Aaleeya 6
Aaleeyah    78
Aaleigha    128
Aaleiyah    20
Aalexis 25
Aalexus 9
Aaleya  10
Aaleyah 586
Aalia   284
Aaliah  771
Aaliayah    141
Aaliayh 53
Aalicia 6
Aaliha  13
Aalijah 99
Aalina  22
Aalisha 24
Aalivia 31
Aaliya  931
Aaliyah 55880
Aaliyaha    25
Aaliyahmarie    17
Aaliyahrose 5
Aaliyan 102
Aaliyana    82
Aaliyha 446
Aaliyiah    35
Aalliyah    187
Aallyah 5
Aalya   17
Aalyah  623
Aalycia 29
Aalyha  22
Aalyia  6
Aalyiah 659
Aalysia 7
Aalyssa 116
Aalyvia 6
Aamanda 20
Aamani  114
Aamari  61
Aamaya  6
Aamber  25
Aamena  10
Aamia   11
Aamilah 13
Aamina  229
Aaminah 254
Aamira  156
Aamirah 120
Aamiya  31
Aamiyah 267
Aamna   195
Aamoni  10
Aamori  84
Aamya   123
Aamyah  43
Aana    8
Aanchal 80
Aania   35
Aaniah  37
Aanijah 6
Aanika  195
Aanisah 49
Aaniya  234
Aaniyah 908
Aanshi  23
Aanvi   50
Aanya   1445
Aanyah  78
Aapri   10
Aara    29
Aarabella   5
Aaradhana   5
Aaradhya    38
Aaralyn 783
Aaralynn    159
Aaratrika   5
Aaren   467
Aareon  13
Aareona 8
Aaria   97
Aariah  130
Aarian  31
Aariana 336
Aarianna    160
Aarica  159
Aariel  180
Aarielle    13
Aarika  1078
Aarilyn 60
Aarin   476
Aarini  35
Aarion  169
