ID,Block,Trial,Task,Accuracy,RT
801,1,1,2,1,1752.04
801,1,2,2,1,823.718
801,1,3,2,1,646.493
801,1,4,2,1,592.449
801,1,5,2,1,679.79
801,1,6,2,1,761.609
801,1,7,2,0,555.387
801,1,8,2,1,1020.5
801,1,9,2,1,1090.44
801,1,10,2,1,2086.91
801,1,11,2,1,688.475
801,1,12,2,1,682.268
801,1,13,2,0,1228.09
801,1,14,2,1,964.625
801,1,15,2,1,832.73
801,1,16,2,1,692.578
801,1,17,2,1,929.221
801,1,18,2,1,642.677
801,1,19,2,1,775.196
801,1,20,2,1,691.337
801,2,1,1,1,9886.39
801,2,2,1,1,1587.63
801,2,3,1,1,1104.97
801,2,4,1,1,1143.48
801,2,5,1,1,1050.86
801,2,6,1,1,998.798
801,2,7,1,1,1247.94
801,2,8,1,1,984.778
801,2,9,1,1,975.207
801,2,10,1,1,917.912
801,2,11,1,1,999.167
801,2,12,1,1,1056.32
801,2,13,1,1,964.294
801,2,14,1,1,869.387
801,2,15,1,1,879.062
801,2,16,1,1,981.748
801,2,17,1,1,953.537
801,2,18,1,1,858.807
801,2,19,1,1,935.006
801,2,20,1,1,1027.01
801,3,1,1,1,1989.05
801,3,2,1,1,1033.52
801,3,3,1,1,882.657
801,3,4,1,1,844.132
801,3,5,1,1,853.618
801,3,6,1,1,892.677
801,3,7,1,1,795.111
801,3,8,1,1,956.678
801,3,9,1,1,846.036
801,3,10,1,1,1063.55
801,3,11,1,1,854.059
801,3,12,1,1,895.553
801,3,13,1,1,886.299
801,3,14,1,1,1103.71
801,3,15,1,1,981.862
801,3,16,1,1,1052.48
801,3,17,1,1,867.021
801,3,18,1,1,945.812
801,3,19,1,1,944.367
801,3,20,1,1,927.026
801,4,1,2,1,856.263
801,4,2,2,1,668.673
801,4,3,2,1,643.694
801,4,4,2,1,712.325
801,4,5,2,1,921.937
801,4,6,2,1,667.359
801,4,7,2,1,698.47
801,4,8,2,1,783.145
801,4,9,2,1,603.214
801,4,10,2,1,733.414
801,4,11,2,1,841.759
801,4,12,2,1,651.155
801,4,13,2,1,703.715
801,4,14,2,1,777.566
801,4,15,2,1,749.841
801,4,16,2,1,940.829
801,4,17,2,1,608.892
801,4,18,2,1,653.489
801,4,19,2,1,706.137
801,4,20,2,1,785.167
801,5,1,2,1,844.964
801,5,2,2,1,609.045
801,5,3,2,1,837.747
801,5,4,2,1,687.179
801,5,5,2,1,579.609
801,5,6,2,1,498.941
801,5,7,2,1,647.799
801,5,8,2,1,641.706
801,5,9,2,1,691.789
801,5,10,2,1,669.367
801,5,11,2,1,628.593
801,5,12,2,1,787.882
801,5,13,2,1,661.396
801,5,14,2,1,657.965
801,5,15,2,1,702.601
801,5,16,2,1,909.696
801,5,17,2,1,964.332
801,5,18,2,1,744.368
801,5,19,2,1,743.27
801,5,20,2,1,675.67
801,6,1,1,1,1756.41
801,6,2,1,1,1132.24
801,6,3,1,1,1007.95
801,6,4,1,1,801.017
801,6,5,1,0,885.281
801,6,6,1,1,896.699
801,6,7,1,1,871.255
801,6,8,1,1,846.145
801,6,9,1,1,999.745
801,6,10,1,1,1097.06
801,6,11,1,1,831.204
801,6,12,1,1,1064.74
801,6,13,1,1,1383.04
801,6,14,1,1,932.916
801,6,15,1,1,936.821
801,6,16,1,1,1004.9
801,6,17,1,1,982.053
801,6,18,1,1,850.049
801,6,19,1,1,827.552
801,6,20,1,1,1114.54
801,7,1,1,1,1323.07
801,7,2,1,1,939.808
801,7,3,1,1,903.686
801,7,4,1,1,939.867
801,7,5,1,1,1010.55
801,7,6,1,1,1126.37
801,7,7,1,1,879.346
801,7,8,1,1,896.825
801,7,9,1,1,996.903
801,7,10,1,1,1150.04
801,7,11,1,1,1102.87
801,7,12,1,1,962.657
801,7,13,1,1,1019.85
801,7,14,1,1,954.389
801,7,15,1,1,1496.89
801,7,16,1,1,1238.76
801,7,17,1,1,935.31
801,7,18,1,1,819.272
801,7,19,1,1,834.134
801,7,20,1,1,761.128
801,8,1,2,1,804.072
801,8,2,2,1,765.791
801,8,3,2,1,799.389
801,8,4,2,1,712.978
801,8,5,2,1,706.799
801,8,6,2,1,721.891
801,8,7,2,1,819.613
801,8,8,2,1,791.871
801,8,9,2,1,798.939
801,8,10,2,1,640.421
801,8,11,2,1,1010.33
801,8,12,2,1,770.826
801,8,13,2,1,738.481
801,8,14,2,1,833.5
801,8,15,2,1,723.076
801,8,16,2,1,772.739
801,8,17,2,1,625.088
801,8,18,2,1,720.281
801,8,19,2,1,684.764
801,8,20,2,1,590.481
801,9,1,2,1,1004.87
801,9,2,2,1,574.18
801,9,3,2,1,730.986
801,9,4,2,1,663.328
801,9,5,2,1,662.655
801,9,6,2,1,557.784
801,9,7,2,1,653.159
801,9,8,2,1,673.654
801,9,9,2,1,635.576
801,9,10,2,1,594.797
801,9,11,2,1,724.779
801,9,12,2,1,542.524
801,9,13,2,0,630.01
801,9,14,2,1,663.138
801,9,15,2,1,763.788
801,9,16,2,1,725.339
801,9,17,2,1,617.671
801,9,18,2,1,629.7
801,9,19,2,1,829.672
801,9,20,2,1,639.268
801,10,1,1,1,957.812
801,10,2,1,1,895.328
801,10,3,1,1,845.817
801,10,4,1,1,727.336
801,10,5,1,1,1065.18
801,10,6,1,1,813.047
801,10,7,1,1,985.163
801,10,8,1,1,1543.66
801,10,9,1,1,973.233
801,10,10,1,1,1531.74
801,10,11,1,1,1006.54
801,10,12,1,1,922.387
801,10,13,1,1,843.864
801,10,14,1,1,749.239
801,10,15,1,1,860.38
801,10,16,1,1,859.208
801,10,17,1,1,735.319
801,10,18,1,1,947.712
801,10,19,1,1,858.281
801,10,20,1,1,953.088
801,11,1,1,1,953.133
801,11,2,1,1,746.534
801,11,3,1,1,697.445
801,11,4,1,1,797.911
801,11,5,1,1,959.549
801,11,6,1,1,1008.83
801,11,7,1,1,1108.64
801,11,8,1,1,882.976
801,11,9,1,0,919.101
801,11,10,1,1,999.76
801,11,11,1,1,880.855
801,11,12,1,1,842.284
801,11,13,1,1,1724.02
801,11,14,1,1,813.741
801,11,15,1,1,1162.54
801,11,16,1,1,859.442
801,11,17,1,1,1007.68
801,11,18,1,1,904.728
801,11,19,1,1,868.34
801,11,20,1,1,782.371
801,12,1,2,1,899.983
801,12,2,2,1,730.861
801,12,3,2,1,639.349
801,12,4,2,1,782.551
801,12,5,2,1,709.601
801,12,6,2,1,892.578
801,12,7,2,1,624.599
801,12,8,2,1,703.897
801,12,9,2,1,687.087
801,12,10,2,1,707.486
801,12,11,2,1,749.267
801,12,12,2,1,708.319
801,12,13,2,1,659.37
801,12,14,2,1,735.93
801,12,15,2,1,814.976
801,12,16,2,1,843.227
801,12,17,2,1,756.871
801,12,18,2,1,654.517
801,12,19,2,1,741.638
801,12,20,2,1,620.885
801,13,1,2,1,607.586
801,13,2,2,1,780.323
801,13,3,2,1,584.619
801,13,4,2,1,560.026
801,13,5,2,1,607.448
801,13,6,2,1,465.494
801,13,7,2,1,481.002
801,13,8,2,1,584.597
801,13,9,2,0,455.843
801,13,10,2,1,712.798
801,13,11,2,1,623.908
801,13,12,2,1,551.861
801,13,13,2,1,703.214
801,13,14,2,1,582.254
801,13,15,2,1,749.759
801,13,16,2,1,679.241
801,13,17,2,1,689.197
801,13,18,2,1,570.302
801,13,19,2,1,674.368
801,13,20,2,1,643.359
801,14,1,1,1,1693.17
801,14,2,1,1,980.995
801,14,3,1,1,889.004
801,14,4,1,1,893.073
801,14,5,1,1,846.538
801,14,6,1,1,1007.99
801,14,7,1,1,819.806
801,14,8,1,1,904
801,14,9,1,1,764.194
801,14,10,1,1,981.895
801,14,11,1,1,1004.43
801,14,12,1,1,861.752
801,14,13,1,1,849.658
801,14,14,1,1,1005.82
801,14,15,1,1,777.752
801,14,16,1,1,933.942
801,14,17,1,1,908.728
801,14,18,1,1,1243.36
801,14,19,1,1,830.72
801,14,20,1,1,704.385
801,15,1,1,1,1110.92
801,15,2,1,1,877.189
801,15,3,1,1,910.598
801,15,4,1,1,903.987
801,15,5,1,1,974.712
801,15,6,1,1,946.668
801,15,7,1,1,905.327
801,15,8,1,1,800.132
801,15,9,1,1,889.54
801,15,10,1,1,941.797
801,15,11,1,1,980.337
801,15,12,1,1,848.234
801,15,13,1,1,908.562
801,15,14,1,1,747.07
801,15,15,1,1,722.123
801,15,16,1,1,883.891
801,15,17,1,1,885.315
801,15,18,1,1,942.736
801,15,19,1,1,1045.56
801,15,20,1,1,934.544
801,16,1,2,1,763.747
801,16,2,2,1,581.587
801,16,3,2,1,682.148
801,16,4,2,1,620.061
801,16,5,2,1,1115.28
801,16,6,2,1,772.147
801,16,7,2,1,672.577
801,16,8,2,1,842.41
801,16,9,2,1,651.899
801,16,10,2,1,576.457
801,16,11,2,1,661.153
801,16,12,2,1,721.578
801,16,13,2,1,835.582
801,16,14,2,1,716.993
801,16,15,2,1,636.024
801,16,16,2,1,989.908
801,16,17,2,1,716.597
801,16,18,2,1,731.65
801,16,19,2,1,656.012
801,16,20,2,1,644.613
801,17,1,2,1,728.737
801,17,2,2,1,733.298
801,17,3,2,1,681.605
801,17,4,2,1,579.382
801,17,5,2,1,704.071
801,17,6,2,1,735.294
801,17,7,2,1,699.756
801,17,8,2,1,528.131
801,17,9,2,1,700.859
801,17,10,2,1,563.934
801,17,11,2,1,774.056
801,17,12,2,1,690.469
801,17,13,2,1,716.103
801,17,14,2,1,621.831
801,17,15,2,1,586.581
801,17,16,2,1,713.913
801,17,17,2,1,681.028
801,17,18,2,1,578.958
801,17,19,2,1,631.489
801,17,20,2,1,665.392
801,18,1,1,1,953.944
801,18,2,1,1,832.69
801,18,3,1,1,879.65
801,18,4,1,0,950.277
801,18,5,1,1,870.934
801,18,6,1,1,909.687
801,18,7,1,1,788.306
801,18,8,1,1,1355.38
801,18,9,1,1,1137.22
801,18,10,1,1,980.987
801,18,11,1,1,920.828
801,18,12,1,1,860.757
801,18,13,1,1,874.97
801,18,14,1,1,757.128
801,18,15,1,1,966.655
801,18,16,1,1,768.074
801,18,17,1,1,796.31
801,18,18,1,1,869.894
801,18,19,1,1,831.25
801,18,20,1,1,864.792
801,19,1,1,1,1167.13
801,19,2,1,1,1002.71
801,19,3,1,1,892.038
801,19,4,1,1,839.978
801,19,5,1,1,849.51
801,19,6,1,1,973.675
801,19,7,1,1,1009.66
801,19,8,1,1,826.824
801,19,9,1,1,721.664
801,19,10,1,1,782.081
801,19,11,1,1,1482.43
801,19,12,1,1,1170.68
801,19,13,1,1,915.606
801,19,14,1,1,2218.38
801,19,15,1,1,779.813
801,19,16,1,1,986.686
801,19,17,1,1,948.052
801,19,18,1,1,1346.53
