artist,album,album_id,year,tracknum,title,length
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,1,Speed of Life,167333
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,2,Breaking Glass,113000
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,3,What in the World,143333
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,4,Sound and Vision,183666
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,5,Always Crashing in the Same Car,213333
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,6,Be My Wife,176666
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,7,A New Career in a New Town,175333
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,8,Warszawa,383826
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,9,Art Decade,227506
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,10,Weeping Wall,208666
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,11,Subterraneans,342000
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,12,Some Are,196000
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,13,All Saints,218000
David Bowie,Low,02e2a2f6-0da2-34cb-8e65-a05447ed1994,1991-08-20,14,Sound + Vision (David Richards remix 1991),280893
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,1,Liza Jane,138000
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,2,Louie Louie Go Home,132733
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,3,I Pity the Fool,129173
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,4,Take My Tip,135800
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,5,Thats Where My Heart Is,148360
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,6,I Want My Baby Back,159733
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,7,Bars of the County Jail,127000
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,8,Youve Got a Habit of Leaving,151666
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,9,Baby Loves That Way,182773
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,10,Ill Follow You,122360
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,11,Glad Ive Got Nobody,151506
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,12,Cant Help Thinking About Me,167200
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,13,And I Say to Myself,149266
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,14,Do Anything You Say,151933
David Bowie,Early On (19641966),037a7ef3-20ee-447e-bbbd-01f0fcc70cbc,1991,15,Good Morning Girl,134333
