ID,Block,Trial,Task,TargetPosition,DistractorPosition,Accuracy,fix_x,fix_y
801,1,2,2,10,5,1,380,203
801,1,2,2,10,5,1,375,187
801,1,8,2,9,3,1,610,191
801,1,8,2,9,3,1,652,195
801,1,9,2,11,2,1,477,389
801,1,9,2,11,2,1,179,432
801,1,9,2,11,2,1,238,417
801,1,9,2,11,2,1,238,384
801,1,9,2,11,2,1,235,412
801,1,9,2,11,2,1,230,391
801,1,9,2,11,2,1,232,408
801,1,10,2,11,1,1,234,339
801,1,10,2,11,1,1,233,357
801,1,10,2,11,1,1,235,370
801,1,10,2,11,1,1,241,396
801,1,10,2,11,1,1,246,413
801,1,10,2,11,1,1,241,407
801,1,10,2,11,1,1,234,401
801,1,10,2,11,1,1,235,403
801,1,10,2,11,1,1,231,380
801,1,10,2,11,1,1,230,381
801,1,10,2,11,1,1,225,384
801,1,10,2,11,1,1,221,370
801,1,11,2,9,3,1,605,152
801,1,11,2,9,3,1,641,147
801,1,15,2,12,5,1,335,644
801,1,15,2,12,5,1,378,657
801,1,16,2,8,5,1,831,392
801,1,16,2,8,5,1,795,428
801,1,17,2,12,6,1,369,608
801,1,17,2,12,6,1,380,639
801,1,19,2,12,4,1,432,403
801,1,19,2,12,4,1,357,582
801,1,19,2,12,4,1,379,627
801,2,1,1,3,12,1,314,653
801,2,1,1,3,12,1,347,646
801,2,1,1,3,12,1,342,645
801,2,1,1,3,12,1,481,389
801,2,1,1,3,12,1,341,601
801,2,1,1,3,12,1,285,534
801,2,1,1,3,12,1,349,640
801,2,1,1,3,12,1,363,648
801,2,1,1,3,12,1,505,655
801,2,1,1,3,12,1,540,307
801,2,1,1,3,12,1,495,174
801,2,1,1,3,12,1,399,590
801,2,1,1,3,12,1,371,645
801,2,1,1,3,12,1,513,412
801,2,1,1,3,12,1,524,396
801,2,1,1,3,12,1,669,337
801,2,1,1,3,12,1,723,300
801,2,1,1,3,12,1,545,387
801,2,1,1,3,12,1,718,306
801,2,1,1,3,12,1,731,295
801,2,1,1,3,12,1,537,357
801,2,1,1,3,12,1,712,313
801,2,1,1,3,12,1,722,302
801,2,1,1,3,12,1,549,381
801,2,1,1,3,12,1,540,394
801,2,1,1,3,12,1,744,300
801,2,1,1,3,12,1,554,413
801,2,1,1,3,12,1,541,388
801,2,2,1,3,9,1,545,303
801,2,2,1,3,9,1,535,392
801,2,2,1,3,9,1,640,394
801,2,2,1,3,9,1,745,338
801,2,2,1,3,9,1,575,381
801,2,3,1,2,9,1,553,426
801,2,3,1,2,9,1,779,569
801,2,3,1,2,9,1,763,557
801,2,4,1,1,11,1,378,389
801,2,4,1,1,11,1,232,395
801,2,4,1,1,11,1,517,460
801,2,4,1,1,11,1,547,677
801,2,4,1,1,11,1,522,664
801,2,6,1,3,7,1,547,405
801,2,6,1,3,7,1,751,337
801,2,7,1,5,10,1,425,219
801,2,7,1,5,10,1,399,192
801,2,7,1,5,10,1,339,297
801,2,7,1,5,10,1,499,409
801,2,7,1,5,10,1,511,404
801,2,9,1,3,7,1,541,414
801,2,9,1,3,7,1,729,338
801,2,9,1,3,7,1,742,326
801,2,9,1,3,7,1,558,392
801,2,10,1,2,7,1,546,431
801,2,10,1,2,7,1,757,548
801,2,10,1,2,7,1,752,556
801,2,10,1,2,7,1,559,418
801,2,11,1,3,10,1,557,399
801,2,11,1,3,10,1,763,328
801,2,11,1,3,10,1,751,311
801,2,12,1,2,10,1,489,331
801,2,12,1,2,10,1,545,386
801,2,12,1,2,10,1,756,545
801,2,12,1,2,10,1,544,400
801,2,15,1,2,9,1,544,414
801,2,15,1,2,9,1,766,573
801,2,15,1,2,9,1,753,561
801,2,18,1,4,7,1,503,393
801,2,18,1,4,7,1,503,232
