latitude,longitude
44.043255,-123.072077
44.043248,-123.072026
44.043262,-123.071893
44.043295,-123.071772
44.04328,-123.071633
44.043278,-123.071484
44.043283,-123.071356
44.043274,-123.071191
44.043269,-123.071057
44.043278,-123.070914
44.043279,-123.070763
44.043273,-123.070611
44.043277,-123.070467
44.043282,-123.070331
44.043268,-123.070188
44.043253,-123.070065
44.043251,-123.069924
44.043244,-123.069791
44.043244,-123.069659
44.043234,-123.06953
44.043223,-123.069375
44.043241,-123.069243
44.043228,-123.069096
44.043205,-123.068939
44.04318,-123.068813
44.043143,-123.06869
44.043158,-123.068562
44.043226,-123.068449
44.043267,-123.068312
44.043261,-123.068152
44.043261,-123.067999
44.043263,-123.067866
44.043252,-123.067729
44.043242,-123.067602
44.043249,-123.067441
44.04325,-123.067309
44.043215,-123.067158
44.043206,-123.067021
44.043186,-123.066873
44.04318,-123.066726
44.043164,-123.066592
44.043156,-123.066453
44.043169,-123.066317
44.043187,-123.066164
44.043199,-123.066036
44.043189,-123.065884
44.043184,-123.065753
44.043205,-123.065593
44.043207,-123.065461
44.043226,-123.065297
44.043231,-123.06517
44.043241,-123.065042
44.043263,-123.064892
44.04326,-123.06473
44.043257,-123.064573
44.043238,-123.06442
44.043224,-123.064264
44.04321,-123.064113
44.0432,-123.063985
44.043201,-123.063823
44.043213,-123.063697
44.043218,-123.063539
44.043222,-123.063398
44.043213,-123.063238
44.043206,-123.063084
44.043206,-123.062931
44.043209,-123.062789
44.043198,-123.062655
44.043147,-123.062533
44.043097,-123.062428
44.043089,-123.062269
44.043099,-123.062144
44.043113,-123.062007
44.043132,-123.061851
44.043124,-123.061701
44.043149,-123.061553
44.04324,-123.061467
44.043341,-123.061426
44.043434,-123.061434
44.043525,-123.061448
44.043641,-123.061431
44.043734,-123.06142
44.043846,-123.061414
44.043955,-123.061403
44.044046,-123.061394
44.04415,-123.061394
44.044269,-123.061405
44.044376,-123.061422
44.044476,-123.061427
44.044586,-123.061418
44.044682,-123.061413
44.044802,-123.061399
44.044906,-123.061388
44.044971,-123.061269
44.044935,-123.061138
44.044894,-123.060981
44.044865,-123.060839
44.044859,-123.060697
44.044842,-123.060534
44.044823,-123.060408
44.044801,-123.060283
44.044781,-123.060127
44.044771,-123.059969
44.044745,-123.059814
44.044735,-123.059655
44.044705,-123.0595
44.044648,-123.059354
44.04464,-123.059197
44.04465,-123.059037
44.04465,-123.058874
44.044659,-123.05871
44.044672,-123.058564
44.044681,-123.058434
44.044724,-123.05831
44.044721,-123.058142
44.044712,-123.058005
44.044715,-123.057868
44.044757,-123.057726
44.044803,-123.05759
44.044801,-123.057436
44.04485,-123.057318
44.044893,-123.057184
44.044847,-123.057049
44.044809,-123.056935
44.044806,-123.056808
44.044814,-123.056648
44.044832,-123.056511
44.044844,-123.05637
44.04488,-123.056227
44.044933,-123.056111
44.045015,-123.056029
44.045112,-123.056012
44.045184,-123.055922
44.045185,-123.055793
44.045183,-123.05564
44.045159,-123.055512
44.045137,-123.055362
44.045108,-123.055224
44.04508,-123.055086
44.045048,-123.05496
44.045015,-123.054813
44.04497,-123.054667
44.044938,-123.054521
44.044923,-123.054379
44.044922,-123.054228
44.04489,-123.054092
44.044841,-123.053967
44.044794,-123.053845
44.044755,-123.053705
44.044687,-123.053572
44.044625,-123.053464
44.044582,-123.05332
44.044548,-123.05319
44.044509,-123.053054
44.044471,-123.052921
44.044449,-123.05279
44.044449,-123.052654
44.04453,-123.052535
44.044618,-123.052494
44.044726,-123.052461
44.044829,-123.052431
44.044927,-123.052399
44.045022,-123.052361
44.045112,-123.052334
44.045215,-123.052304
44.045314,-123.052272
44.045404,-123.052237
44.04549,-123.052184
44.045592,-123.05215
44.045697,-123.052117
44.045793,-123.052075
44.045906,-123.052043
44.045996,-123.052018
44.046102,-123.051979
44.046187,-123.0519
44.046189,-123.05175
44.046179,-123.051599
44.046192,-123.051453
44.046225,-123.051307
44.046294,-123.051182
44.046354,-123.051068
44.046457,-123.050973
44.046548,-123.050936
44.046641,-123.050924
44.046756,-123.050916
44.046871,-123.050906
44.046964,-123.050882
44.047066,-123.050876
44.047186,-123.050864
44.047306,-123.050849
44.047419,-123.050847
44.047527,-123.050833
44.047628,-123.050815
44.047748,-123.050812
44.047843,-123.050819
44.047934,-123.050818
44.048036,-123.050828
44.04813,-123.050848
44.048216,-123.050882
44.048321,-123.050953
44.048409,-123.051039
44.048476,-123.051136
44.048528,-123.05126
44.048586,-123.051363
44.048641,-123.05148
44.048691,-123.05162
44.048759,-123.051742
44.04884,-123.05184
44.048907,-123.051955
44.048986,-123.052038
44.049084,-123.052069
44.049187,-123.0521
44.049291,-123.052149
44.049381,-123.052181
44.049469,-123.052211
44.049561,-123.052248
44.049653,-123.052271
44.049742,-123.052297
44.049839,-123.052319
44.049935,-123.052348
44.050033,-123.052395
44.050114,-123.052448
44.050198,-123.052521
44.050293,-123.05261
44.050385,-123.052694
44.050479,-123.052779
44.050563,-123.05287
44.050645,-123.052956
44.050723,-123.053059
44.050808,-123.053164
44.050898,-123.053266
44.050988,-123.053357
44.051076,-123.053437
44.051158,-123.053541
44.051224,-123.05365
44.051281,-123.053767
44.051336,-123.053893
44.051378,-123.054016
44.051409,-123.054174
44.051446,-123.054317
44.051455,-123.054459
44.051461,-123.054618
44.051458,-123.054771
44.051469,-123.054925
44.051497,-123.055069
44.051524,-123.055205
44.051545,-123.055349
44.051563,-123.055472
44.051611,-123.055617
44.051641,-123.055763
44.051663,-123.055908
44.051686,-123.056055
44.051727,-123.056186
44.05175,-123.056344
44.051758,-123.056482
44.051777,-123.056627
44.051777,-123.056756
44.05178,-123.056913
44.051774,-123.057063
44.05178,-123.057207
44.05175,-123.057348
44.05173,-123.057475
44.051716,-123.057617
44.051684,-123.057771
44.051677,-123.057901
44.051679,-123.058054
44.051676,-123.058207
44.051687,-123.058358
44.051686,-123.058497
44.051704,-123.058648
44.051761,-123.058781
44.051795,-123.05892
44.051831,-123.05907
44.051845,-123.059222
44.05187,-123.05935
44.051913,-123.05948
44.051972,-123.059614
44.052026,-123.05975
44.052074,-123.059885
44.052136,-123.060006
44.052194,-123.060121
44.052247,-123.060241
44.052265,-123.060391
44.052276,-123.060539
44.052298,-123.060681
44.052325,-123.060842
44.052332,-123.060969
44.052321,-123.061098
44.052296,-123.061248
44.052287,-123.061376
44.052278,-123.061502
44.052255,-123.061648
44.052247,-123.061775
44.052235,-123.061909
44.052214,-123.062046
44.052218,-123.062194
44.052177,-123.062312
44.0521,-123.062381
44.051985,-123.062394
44.051876,-123.062394
44.051758,-123.062423
44.051669,-123.062447
44.051576,-123.062472
44.051488,-123.062526
44.051401,-123.062625
44.05137,-123.062762
44.05137,-123.062899
44.051369,-123.063045
44.051375,-123.063213
44.051384,-123.063376
44.051387,-123.063529
44.051386,-123.063689
44.051387,-123.063851
44.05139,-123.063978
44.051393,-123.064138
44.051403,-123.064305
44.051414,-123.064469
44.051427,-123.064636
44.051461,-123.064791
44.051537,-123.064875
44.051643,-123.064927
44.051735,-123.064927
44.051843,-123.064971
44.051916,-123.065046
44.052009,-123.065155
44.052096,-123.065269
44.052182,-123.06537
44.052278,-123.06547
44.052351,-123.06555
44.052446,-123.065644
44.052522,-123.065747
44.052593,-123.06585
44.052672,-123.065922
44.052754,-123.066015
44.05284,-123.066121
44.052924,-123.066199
44.052995,-123.066311
44.053071,-123.066425
44.053147,-123.066529
44.053196,-123.066644
44.053252,-123.066744
44.053323,-123.066847
44.053401,-123.06692
44.053487,-123.067002
44.053572,-123.067067
44.053655,-123.06714
44.053746,-123.067234
44.053848,-123.067318
44.053955,-123.067395
44.054061,-123.067465
44.054142,-123.067528
44.054235,-123.067593
44.054312,-123.067657
44.054392,-123.067752
44.054452,-123.06785
44.054538,-123.067936
44.054616,-123.068004
44.054701,-123.068083
44.054778,-123.068195
44.05483,-123.06832
44.054877,-123.068457
44.054922,-123.068588
44.054988,-123.068723
44.055069,-123.06884
44.055144,-123.068943
44.055223,-123.069012
44.055329,-123.069092
44.055419,-123.069133
44.05551,-123.069167
44.055621,-123.06921
44.055732,-123.069264
44.055843,-123.069317
44.055943,-123.069383
44.056033,-123.069467
44.056102,-123.06957
44.056163,-123.069711
44.056188,-123.069832
44.056194,-123.069993
44.05618,-123.070117
44.056155,-123.070271
44.056122,-123.070416
44.056092,-123.070568
44.056053,-123.0707
44.056013,-123.070826
44.055965,-123.070968
44.055924,-123.071091
44.055885,-123.071217
44.055857,-123.071339
44.055826,-123.07146
44.055816,-123.071618
44.055798,-123.071749
44.055779,-123.071897
44.055764,-123.072041
44.055721,-123.072159
44.055703,-123.07231
44.05571,-123.072469
44.055706,-123.072618
44.055737,-123.072746
44.05575,-123.072901
44.055719,-123.073065
44.055707,-123.073209
44.055682,-123.073375
44.055654,-123.073497
44.055638,-123.073627
44.055639,-123.073753
44.055618,-123.073897
44.05556,-123.074036
44.055487,-123.074124
44.055408,-123.074184
44.055319,-123.074221
44.055203,-123.074269
44.055114,-123.074368
44.055061,-123.074488
44.05507,-123.074631
44.055117,-123.074743
44.055163,-123.074861
44.05519,-123.07501
44.055187,-123.075136
44.055136,-123.07527
44.055072,-123.07539
44.055009,-123.075514
44.054984,-123.075665
44.054987,-123.075834
44.054981,-123.075977
44.054977,-123.076123
44.054962,-123.07628
44.054976,-123.076441
44.054982,-123.076592
44.055009,-123.076734
44.055024,-123.076864
44.055062,-123.07702
44.055091,-123.077176
44.055104,-123.077302
44.055133,-123.077425
44.055199,-123.077541
44.055274,-123.07762
44.055359,-123.07769
44.055446,-123.077802
44.055452,-123.077939
44.055442,-123.07809
44.055465,-123.07823
44.055548,-123.078301
44.055654,-123.078273
44.055752,-123.078223
44.05584,-123.078137
44.055916,-123.078038
44.055986,-123.077934
44.05609,-123.077874
44.056193,-123.077837
44.056278,-123.077792
44.056373,-123.07774
44.056465,-123.077734
44.056557,-123.077798
44.056628,-123.077926
44.056661,-123.07808
44.056636,-123.07822
44.056583,-123.07834
44.056529,-123.078445
44.056467,-123.078543
44.056429,-123.078675
44.056427,-123.078813
44.056446,-123.078953
44.056448,-123.079094
44.056409,-123.079225
44.056379,-123.079344
44.056395,-123.079511
44.056411,-123.079672
44.056376,-123.079809
44.056325,-123.079946
44.056284,-123.080082
44.056285,-123.080223
44.056297,-123.080359
44.056307,-123.080512
44.05632,-123.080671
44.056342,-123.080821
44.05633,-123.080964
44.056345,-123.081115
44.056403,-123.081243
44.056463,-123.081385
44.05647,-123.081518
44.056462,-123.081659
44.056447,-123.081807
44.056405,-123.081958
44.05637,-123.082095
44.056352,-123.082231
44.056399,-123.082346
44.056486,-123.082435
44.056573,-123.08252
44.056668,-123.082597
44.056768,-123.082658
44.056848,-123.08274
44.056955,-123.082719
44.057037,-123.082648
44.057128,-123.082602
44.057202,-123.08269
44.057226,-123.082838
44.057192,-123.082964
44.057143,-123.083081
44.057091,-123.083207
44.057037,-123.08334
44.056997,-123.083475
44.056953,-123.083605
44.056906,-123.083728
44.05686,-123.08386
44.056825,-123.083994
44.056799,-123.084126
44.056749,-123.084251
44.056708,-123.084385
44.056674,-123.084516
44.056771,-123.084508
44.056846,-123.084422
44.056942,-123.084412
44.057044,-123.084416
44.057149,-123.084405
44.057156,-123.08428
44.05705,-123.084252
44.056951,-123.084244
44.056861,-123.084256
44.056759,-123.084252
44.056658,-123.084303
44.056566,-123.084333
44.056462,-123.084363
44.056349,-123.084411
44.056259,-123.084444
44.056151,-123.084465
44.05606,-123.084479
44.055959,-123.084494
44.055835,-123.084502
44.055735,-123.0845
44.055632,-123.084537
