Reports,Count
2016-03-31,114.0
2016-02-29,409.0
2016-01-31,405.0
2015-12-31,428.0
2015-11-30,894.0
2015-10-31,642.0
2015-09-30,715.0
2015-08-31,614.0
2015-07-31,726.0
2015-06-30,477.0
2015-05-31,460.0
2015-04-30,446.0
2015-03-31,475.0
2015-02-28,332.0
2015-01-31,519.0
2014-12-31,522.0
2014-11-30,544.0
2014-10-31,786.0
2014-09-30,829.0
2014-08-31,922.0
2014-07-31,1096.0
2014-06-30,776.0
2014-05-31,652.0
2014-04-30,666.0
2014-03-31,517.0
2014-02-28,554.0
2014-01-31,715.0
2013-12-31,767.0
2013-11-30,806.0
2013-10-31,792.0
2013-09-30,791.0
2013-08-31,919.0
2013-07-31,976.0
2013-06-30,635.0
2013-05-31,537.0
2013-04-30,428.0
2013-03-31,399.0
2013-02-28,284.0
2013-01-31,397.0
2012-12-31,672.0
2012-11-30,781.0
2012-10-31,677.0
2012-09-30,773.0
2012-08-31,905.0
2012-07-31,937.0
2012-06-30,762.0
2012-05-31,521.0
2012-04-30,500.0
2012-03-31,537.0
2012-02-29,395.0
2012-01-31,586.0
2011-12-31,534.0
2011-11-30,445.0
2011-10-31,644.0
2011-09-30,558.0
2011-08-31,644.0
2011-07-31,767.0
2011-06-30,404.0
2011-05-31,320.0
2011-04-30,318.0
2011-03-31,334.0
2011-02-28,275.0
2011-01-31,329.0
2010-12-31,307.0
2010-11-30,366.0
2010-10-31,476.0
2010-09-30,451.0
2010-08-31,531.0
2010-07-31,846.0
2010-06-30,386.0
2010-05-31,333.0
2010-04-30,296.0
2010-03-31,262.0
2010-02-28,189.0
2010-01-31,293.0
2009-12-31,293.0
2009-11-30,324.0
2009-10-31,323.0
2009-09-30,600.0
2009-08-31,502.0
2009-07-31,614.0
2009-06-30,390.0
2009-05-31,360.0
2009-04-30,318.0
2009-03-31,341.0
2009-02-28,397.0
2009-01-31,499.0
2008-12-31,350.0
2008-11-30,459.0
2008-10-31,534.0
2008-09-30,385.0
2008-08-31,505.0
2008-07-31,576.0
2008-06-30,482.0
2008-05-31,347.0
2008-04-30,443.0
2008-03-31,341.0
2008-02-29,372.0
2008-01-31,475.0
2007-12-31,361.0
2007-11-30,375.0
2007-10-31,448.0
2007-09-30,451.0
2007-08-31,472.0
2007-07-31,465.0
2007-06-30,427.0
2007-05-31,317.0
2007-04-30,323.0
2007-03-31,363.0
2007-02-28,267.0
2007-01-31,441.0
2006-12-31,387.0
2006-11-30,413.0
2006-10-31,400.0
2006-09-30,326.0
2006-08-31,429.0
2006-07-31,427.0
2006-06-30,341.0
2006-05-31,301.0
2006-04-30,322.0
2006-03-31,305.0
2006-02-28,232.0
2006-01-31,253.0
2005-12-31,276.0
2005-11-30,466.0
2005-10-31,487.0
2005-09-30,532.0
2005-08-31,355.0
2005-07-31,455.0
2005-06-30,410.0
2005-05-31,302.0
2005-04-30,315.0
